,Genome_Bin,AROs
27,GMBC10.217_329,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
28,GMBC10.224_494,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
29,GMBC10.244_240,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
30,GMBC10.261_931,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
31,GMBC10.264_913,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
32,GMBC10.266_145,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
33,GMBC10.268_107,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
34,GMBC10.269_328,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
35,GMBC10.272_222,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
36,GMBC10.272_526,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
37,GMBC10.273_231,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
38,GMBC10.273_341,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
39,GMBC10.275_422,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
40,GMBC10.275_796,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
41,GMBC10.277_163,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
42,GMBC10.277_177,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
43,GMBC10.277_383,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
44,GMBC10.277_573,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
45,GMBC10.277_756,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
46,GMBC10.277_898,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
47,GMBC10.277_936,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
48,GMBC10.278_185,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
49,GMBC10.278_281,"ARO:1000001,ARO:3000000,ARO:3000012,ARO:3000494,ARO:3000574,ARO:3002905,ARO:3002976,ARO:3003728"
50,GMBC10.009_018,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
51,GMBC10.013_728,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
52,GMBC10.018_579,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
53,GMBC10.018_580,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
54,GMBC10.021_341,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
55,GMBC10.022_496,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
56,GMBC10.022_566,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
57,GMBC10.022_640,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
58,GMBC10.026_275,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
59,GMBC10.026_295,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
60,GMBC10.026_428,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
61,GMBC10.029_007,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
62,GMBC10.029_868,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
63,GMBC10.033_000,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
64,GMBC10.033_555,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
65,GMBC10.033_712,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
66,GMBC10.034_491,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
67,GMBC10.035_271,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
68,GMBC10.036_182,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
69,GMBC10.036_183,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
70,GMBC10.037_361,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
71,GMBC10.038_066,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
72,GMBC10.039_417,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
73,GMBC10.040_583,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
74,GMBC10.041_614,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
75,GMBC10.041_873,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
76,GMBC10.043_879,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
77,GMBC10.044_003,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
78,GMBC10.045_441,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
79,GMBC10.045_699,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
80,GMBC10.047_119,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
81,GMBC10.047_657,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
82,GMBC10.047_825,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
83,GMBC10.048_033,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
84,GMBC10.049_526,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
85,GMBC10.055_520,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
86,GMBC10.055_601,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
87,GMBC10.056_936,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
88,GMBC10.057_437,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
89,GMBC10.059_827,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
90,GMBC10.061_008,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
91,GMBC10.061_218,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
92,GMBC10.061_612,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
93,GMBC10.062_267,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
94,GMBC10.062_700,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
95,GMBC10.062_981,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
96,GMBC10.064_830,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
97,GMBC10.064_909,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
98,GMBC10.064_933,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
99,GMBC10.066_778,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
100,GMBC10.067_888,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
101,GMBC10.069_420,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
102,GMBC10.070_125,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
103,GMBC10.070_397,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
104,GMBC10.070_529,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
105,GMBC10.070_735,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
106,GMBC10.071_432,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
107,GMBC10.071_989,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
108,GMBC10.072_210,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
109,GMBC10.072_216,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
110,GMBC10.072_431,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
111,GMBC10.073_329,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
112,GMBC10.074_185,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
113,GMBC10.074_295,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
114,GMBC10.074_544,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
115,GMBC10.076_809,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
116,GMBC10.076_809,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
117,GMBC10.077_536,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
118,GMBC10.078_106,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
119,GMBC10.078_281,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
120,GMBC10.078_501,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
121,GMBC10.084_707,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
122,GMBC10.085_499,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
123,GMBC10.086_742,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
124,GMBC10.087_825,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
125,GMBC10.088_237,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
126,GMBC10.088_267,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
127,GMBC10.088_563,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
128,GMBC10.090_400,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
129,GMBC10.090_741,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
130,GMBC10.094_246,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
131,GMBC10.094_407,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
132,GMBC10.097_094,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
133,GMBC10.097_614,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
134,GMBC10.099_625,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
135,GMBC10.100_164,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
136,GMBC10.100_165,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
137,GMBC10.100_296,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
138,GMBC10.100_694,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
139,GMBC10.102_210,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
140,GMBC10.103_302,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
141,GMBC10.103_303,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
142,GMBC10.106_468,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
143,GMBC10.107_200,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
144,GMBC10.107_240,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
145,GMBC10.109_566,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
146,GMBC10.109_589,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
147,GMBC10.109_674,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
148,GMBC10.111_056,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
149,GMBC10.111_146,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
150,GMBC10.113_756,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
151,GMBC10.114_074,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
152,GMBC10.115_909,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
153,GMBC10.116_071,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
154,GMBC10.118_501,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
155,GMBC10.119_213,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
156,GMBC10.119_551,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
157,GMBC10.121_951,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
158,GMBC10.123_460,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
159,GMBC10.124_566,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
160,GMBC10.125_335,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
161,GMBC10.128_088,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
162,GMBC10.129_554,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
163,GMBC10.129_571,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
164,GMBC10.130_175,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
165,GMBC10.131_491,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
166,GMBC10.131_729,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
167,GMBC10.132_118,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
168,GMBC10.132_443,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
169,GMBC10.133_789,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
170,GMBC10.134_429,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
171,GMBC10.135_856,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
172,GMBC10.136_181,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
173,GMBC10.140_526,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
174,GMBC10.141_560,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
175,GMBC10.143_126,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
176,GMBC10.143_370,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
177,GMBC10.143_370,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
178,GMBC10.147_048,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
179,GMBC10.148_593,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
180,GMBC10.149_427,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
181,GMBC10.150_855,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
182,GMBC10.152_907,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
183,GMBC10.153_779,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
184,GMBC10.154_112,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
185,GMBC10.156_585,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
186,GMBC10.157_763,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
187,GMBC10.158_411,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
188,GMBC10.164_892,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
189,GMBC10.168_002,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
190,GMBC10.168_164,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
191,GMBC10.169_423,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
192,GMBC10.169_888,"ARO:1000001,ARO:3000000,ARO:3000006,ARO:3000012,ARO:3000494,ARO:3002943,ARO:3002976"
